well_id,depth_m,gamma_ray_api,resistivity_ohmm,density_gcc,neutron_porosity_vv,sonic_usft,caliper_in,hydrocarbon_probability,lithology
mywell,2000.2491,48.317,6.183,2.24,0.306,96.375,8.5,0.1582,Silty Sand
mywell,2000.4015,48.317,6.183,2.24,0.306,96.375,8.5,0.1582,Silty Sand
mywell,2000.5539,49.8238,6.1999,2.2182,0.300048,96.623,8.5,0.1465,Silty Sand
mywell,2000.7063,41.4675,6.2556,2.3103,0.299008,97.245,8.5,0.202,Sandstone
mywell,2000.8587,40.0925,6.1022,2.1781,0.282136,97.126,8.5,0.1792,Sandstone
mywell,2001.0111,46.2265,6.1,2.2524,0.310768,95.637,8.5,0.1817,Silty Sand
mywell,2001.1635,53.1238,6.1962,2.2649,0.270328,95.253,8.5,0.1213,Silty Sand
mywell,2001.3159,49.089,6.3289,2.1718,0.29976,94.506,8.5,0.1682,Silty Sand
mywell,2001.4683,44.2607,6.2616,2.2236,0.23552,97.724,8.5,0.1585,Sandstone
mywell,2001.6207,40.7837,6.3185,2.3252,0.243928,99.114,8.5,0.1698,Sandstone
mywell,2001.7731,40.6747,6.3577,2.1841,0.17952,98.381,8.5,0.1584,Sandstone
mywell,2001.9255,39.1374,6.3838,2.2316,0.244472,98.251,8.5,0.1794,Sandstone
mywell,2002.0779,44.7358,6.3612,2.238,0.23508,97.754,8.5,0.1566,Sandstone
mywell,2002.2303,46.2025,6.2916,2.244,0.236984,97.13,8.5,0.1403,Silty Sand
mywell,2002.3827,42.7936,6.0906,2.238,0.242952,97.993,8.5,0.1715,Sandstone
mywell,2002.5351,33.6396,5.8975,2.2201,0.259864,98.992,8.5,0.1803,Sandstone
mywell,2002.6875,35.5639,5.7958,2.2438,0.21536,99.248,8.5,0.167,Sandstone
mywell,2002.8399,39.6343,5.665,2.2519,0.242776,99.994,8.5,0.1473,Sandstone
mywell,2002.9923,49.4908,5.5569,2.2064,0.485048,105.952,8.5,0.1699,Silty Sand
mywell,2003.1447,55.2095,5.4717,1.9828,0.590168,117.78,8.5,0.1376,Silty Sand
mywell,2003.2971,66.6273,5.475,1.9383,0.596952,128.167,8.5,0.1165,Silty Sand
mywell,2003.4495,68.6227,5.4958,1.6682,0.664456,137.426,8.5,0.1134,Silty Sand
mywell,2003.6019,69.6677,5.5178,1.5787,0.592584,138.864,8.5,0.0976,Silty Sand
mywell,2003.7543,68.182,5.5765,1.6841,0.526528,132.055,8.5,0.1088,Silty Sand
mywell,2003.9067,73.5804,5.4371,1.9112,0.339504,124.436,8.5,0.1143,Shale
