well_id,depth_m,gamma_ray_api,resistivity_ohmm,density_gcc,neutron_porosity_vv,sonic_usft,caliper_in
PETROEDGE-DEMO-01,2500.0000,48.2,72.4,2.31,0.218,83.2,8.5
PETROEDGE-DEMO-01,2500.1524,46.5,78.1,2.30,0.221,82.7,8.6
PETROEDGE-DEMO-01,2500.3048,49.9,81.3,2.29,0.215,81.9,8.4
PETROEDGE-DEMO-01,2500.4572,52.1,69.7,2.32,0.226,84.1,8.5
PETROEDGE-DEMO-01,2500.6096,61.4,42.2,2.36,0.238,87.5,8.7
PETROEDGE-DEMO-01,2500.7620,86.0,8.4,2.48,0.292,96.0,8.8
PETROEDGE-DEMO-01,2500.9144,112.2,3.1,2.57,0.331,108.4,8.9
PETROEDGE-DEMO-01,2501.0668,119.7,2.8,2.59,0.344,111.2,9.0
PETROEDGE-DEMO-01,2501.2192,105.4,4.7,2.54,0.318,103.7,8.8
PETROEDGE-DEMO-01,2501.3716,73.1,20.9,2.42,0.261,92.4,8.6

