Well_id,BOREHOLE-DEPTH.M,CALI_COMP.INCHES,GR_COMP.GAPI,NPHI_COMP.V/V,RHOB_COMP.G/C3,RT_COMP.OHMM,SP_COMP.MV,TVDSS_COMP.M,TVD_COMP.M
Gabo-13,1950.2628,15.9981,43.5953,0.222705,2.2086,17.6208,12.3444,1936.2401,1950.0401
Gabo-13,1950.4152,15.8465,43.8481,0.230439,2.1975,17.6668,12.6001,1936.3925,1950.1925
Gabo-13,1950.5676,15.8003,43.4208,0.231634,2.19,17.6055,12.9252,1936.5448,1950.3448
Gabo-13,1950.72,15.7994,41.9835,0.231107,2.1889,17.4046,13.1914,1936.6972,1950.4972
Gabo-13,1950.8724,15.7995,39.7106,0.228764,2.191,17.0894,13.4653,1936.8495,1950.6495
Gabo-13,1951.0248,15.7984,38.3384,0.22021,2.1936,16.7258,13.7812,1937.0019,1950.8019
Gabo-13,1951.1772,15.7982,39.1874,0.203827,2.195,16.3945,14.0578,1937.1542,1950.9542
Gabo-13,1951.3296,15.7999,41.8638,0.186742,2.1941,16.194,14.2607,1937.3066,1951.1066
Gabo-13,1951.482,15.6967,44.8745,0.182474,2.1948,16.1606,14.5599,1937.4589,1951.2589
Gabo-13,1951.6344,15.5282,45.5332,0.192753,2.2008,16.269,14.9027,1937.6113,1951.4113
Gabo-13,1951.7868,15.3541,43.0314,0.205035,2.2113,16.4937,15.1502,1937.7636,1951.5636
Gabo-13,1951.9392,15.201,39.656,0.203778,2.2205,16.8247,15.3344,1937.916,1951.716
Gabo-13,1952.0916,15.0657,40.5317,0.196328,2.2207,17.2443,15.573,1938.0683,1951.8683
Gabo-13,1952.244,14.9857,42.9949,0.195381,2.2113,17.7113,15.8013,1938.2207,1952.0207
Gabo-13,1952.3964,14.9528,44.0613,0.200611,2.1977,18.1859,15.9554,1938.373,1952.173
Gabo-13,1952.5488,14.8963,41.9262,0.207447,2.1869,18.6153,16.1322,1938.5254,1952.3254
Gabo-13,1952.7012,14.8674,41.308,0.219659,2.182,18.9082,16.4494,1938.6777,1952.4777
Gabo-13,1952.8536,14.8634,41.4821,0.226107,2.1799,19.0178,16.6971,1938.8301,1952.6301
Gabo-13,1953.006,14.8665,40.8073,0.216197,2.18,18.941,16.6801,1938.9824,1952.7824
Gabo-13,1953.1584,14.8694,38.5645,0.197619,2.1848,18.6923,16.4736,1939.1347,1952.9347
Gabo-13,1953.3108,14.87,37.1358,0.195884,2.194,18.3194,16.3596,1939.2871,1953.0871
Gabo-13,1953.4632,14.8715,35.9616,0.21255,2.1999,17.8889,16.2895,1939.4394,1953.2394
Gabo-13,1953.6156,14.8737,34.993,0.234867,2.1972,17.4598,16.1827,1939.5918,1953.3918
Gabo-13,1953.768,14.8747,34.7285,0.247793,2.1874,17.0939,16.1078,1939.7441,1953.5441
Gabo-13,1953.9204,14.8726,33.6414,0.236033,2.1778,16.8619,16.1398,1939.8965,1953.6965
Gabo-13,1954.0728,14.8695,34.0238,0.211611,2.1746,16.7724,16.2071,1940.0488,1953.8488
Gabo-13,1954.2252,14.8692,35.451,0.193598,2.1776,16.7942,16.2478,1940.2012,1954.0012
Gabo-13,1954.3776,14.8725,36.5614,0.189511,2.1844,16.8912,16.3101,1940.3536,1954.1536
Gabo-13,1954.53,14.872,36.8699,0.194232,2.1915,17.008,16.4497,1940.5059,1954.3059
Gabo-13,1954.6824,14.8729,37.0129,0.196721,2.195,17.0731,16.4939,1940.6583,1954.4583
Gabo-13,1954.8348,14.8743,38.5461,0.19453,2.1979,17.044,16.4128,1940.8106,1954.6106
Gabo-13,1954.9872,14.8739,40.9714,0.193672,2.2055,16.8894,16.33,1940.963,1954.763
Gabo-13,1955.1396,14.8719,39.5362,0.199027,2.2168,16.5569,16.3223,1941.1153,1954.9153
Gabo-13,1955.292,14.9041,38.3084,0.203153,2.2216,16.0081,16.3108,1941.2677,1955.0677
Gabo-13,1955.4444,14.9673,38.0975,0.206768,2.2203,15.2619,16.2906,1941.42,1955.22
Gabo-13,1955.5968,15.0395,37.8016,0.214648,2.2203,14.3729,16.3849,1941.5724,1955.3724
Gabo-13,1955.7492,15.09,36.4981,0.226643,2.2248,13.422,16.6151,1941.7247,1955.5247
Gabo-13,1955.9016,15.1179,36.0082,0.239908,2.2256,12.5141,16.6839,1941.8771,1955.6771
Gabo-13,1956.054,15.103,36.7093,0.253493,2.2144,11.7416,16.644,1942.0294,1955.8294
Gabo-13,1956.2064,15.0601,37.2214,0.262937,2.1895,11.161,16.632,1942.1818,1955.9818
Gabo-13,1956.3588,15.0279,35.6901,0.263191,2.1572,10.8055,16.6327,1942.3341,1956.1341
Gabo-13,1956.5112,14.9904,35.1219,0.258519,2.135,10.6666,16.6298,1942.4865,1956.2865
Gabo-13,1956.6636,14.9676,34.9656,0.25307,2.129,10.6558,16.6405,1942.6388,1956.4388
Gabo-13,1956.816,14.9474,35.4578,0.244699,2.1341,10.6896,16.6477,1942.7912,1956.5912
Gabo-13,1956.9684,14.8985,37.6157,0.232079,2.1431,10.7175,16.5653,1942.9435,1956.7435
Gabo-13,1957.1208,14.7673,40.7349,0.222721,2.1486,10.7081,16.3199,1943.0959,1956.8959
Gabo-13,1957.2732,14.6251,41.6347,0.225279,2.1485,10.6587,16.0864,1943.2482,1957.0482
Gabo-13,1957.4256,14.5333,40.0304,0.238724,2.1463,10.5808,15.8881,1943.4006,1957.2006
Gabo-13,1957.578,14.5077,37.0984,0.252132,2.1452,10.4879,15.658,1943.5529,1957.3529
Gabo-13,1957.7304,14.5047,35.9981,0.253053,2.1444,10.4017,15.4604,1943.7053,1957.5053
Gabo-13,1957.8828,14.5059,36.8083,0.251732,2.1417,10.3461,15.3241,1943.8576,1957.6576
Gabo-13,1958.0352,14.5053,39.6679,0.257603,2.1385,10.3248,15.214,1944.01,1957.81
Gabo-13,1958.1876,14.5183,44.0261,0.267553,2.1389,10.3424,15.0844,1944.1624,1957.9624
Gabo-13,1958.34,14.6106,46.786,0.275528,2.1448,10.4244,14.9485,1944.3147,1958.1147
Gabo-13,1958.4924,14.8829,47.9563,0.283281,2.1498,10.5917,14.9728,1944.4671,1958.2671
Gabo-13,1958.6448,15.1431,47.7221,0.285171,2.1518,10.8175,15.187,1944.6194,1958.4194
Gabo-13,1958.7972,15.2815,46.356,0.272162,2.1534,11.0417,15.4316,1944.7718,1958.5718
Gabo-13,1958.9496,15.3058,44.7387,0.248192,2.1568,11.1974,15.5432,1944.9241,1958.7241
Gabo-13,1959.102,15.314,44.1766,0.239559,2.1612,11.2584,15.6002,1945.0765,1958.8765
Gabo-13,1959.2544,15.3152,44.0011,0.249289,2.1643,11.2374,15.6717,1945.2288,1959.0288
Gabo-13,1959.4068,15.3102,44.0709,0.262191,2.1651,11.1447,15.6372,1945.3812,1959.1812
Gabo-13,1959.5592,15.3163,44.865,0.266083,2.1638,10.9897,15.4547,1945.5335,1959.3335
Gabo-13,1959.7116,15.2413,47.2239,0.264092,2.1597,10.812,15.3774,1945.6859,1959.4859
Gabo-13,1959.864,15.1423,46.4538,0.270697,2.1537,10.6673,15.2597,1945.8382,1959.6382
Gabo-13,1960.0164,15.0741,44.2996,0.284069,2.1461,10.5918,15.1094,1945.9906,1959.7906
Gabo-13,1960.1688,15.0571,44.672,0.295968,2.1372,10.5877,15.2131,1946.143,1959.943
Gabo-13,1960.3212,15.0843,45.6536,0.307251,2.1291,10.6141,15.6511,1946.2953,1960.0953
Gabo-13,1960.4736,15.1186,45.5209,0.306672,2.1248,10.6346,16.0347,1946.4477,1960.2477
Gabo-13,1960.626,15.1402,44.5412,0.285427,2.1276,10.6341,16.185,1946.6,1960.4
Gabo-13,1960.7784,15.1516,42.9804,0.256244,2.1388,10.6143,16.2108,1946.7524,1960.5524
Gabo-13,1960.9308,15.2032,39.9725,0.249439,2.1534,10.5989,16.26,1946.9047,1960.7047
Gabo-13,1961.0832,15.2307,39.1539,0.263195,2.1617,10.6184,16.375,1947.0571,1960.8571
